#FileName	SpeciesCode	SpeciesName	Kingdom	Phylum	Subphylum	class	order	Family	genus
Aspergillus_oryzae_RIB40.gb	ASPOR	Aspergillus_oryzae_RIB40	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_parasiticus.gb	ASPPA	Aspergillus_parasiticus_SU-1	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus.
Aspergillus_rambellii.gb	ASPRA	Aspergillus_rambellii	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus.
Aspergillus_ruber.gb	ASPRU	Aspergillus_ruber_CBS_135680	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_terreus_NIH2624.gb	ASPTE	Aspergillus_terreus_NIH2624	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Auricularia_delicata_TFB10046.gb	AURDE	Auricularia_delicata_TFB-10046_SS5	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia
Aureobasidium_pullulans_melanogenum.gb	AURPU	Aureobasidium_melanogenum_CBS_110374	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium
Batrachochytrium_dendrobatidis_JAM81.gb	BATDE	Batrachochytrium_dendrobatidis_JAM81	Fungi	Chytridiomycota	Chytridiomycota_S	Chytridiomycetes	Rhizophydiales	Rhizophydiales_F	Batrachochytrium
Baudoinia_compniacensis_UAMH10762.gb	BAUCO	Baudoinia_compniacensis_UAMH_10762	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Baudoinia
Beauveria_bassiana_D15.gb	BEABA	Beauveria_bassiana_D1-5	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria
Bipolaris_maydis_ATCC48331.gb	BIPMA	Bipolaris_maydis_ATCC_48331	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Bipolaris_oryzae_ATCC44560.gb	BIPOR	Bipolaris_oryzae_ATCC_44560	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Bipolaris_sorokiniana_ND90Pr.gb	BIPSO	Bipolaris_sorokiniana_ND90Pr	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Bipolaris_victoriae_FI3.gb	BIPVI	Bipolaris_victoriae_FI3	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Bipolaris_zeicola_26R13.gb	BIPZE	Bipolaris_zeicola_26-R-13	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Blastomyces_dermatitidis_ATCC18188.gb	BLADE	Blastomyces_dermatitidis_ATCC_18188	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces
Blumeria_graminis_tritici_96224.gb	BLUGR	Blumeria_graminis_f._sp._tritici_96224	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria
Botryobasidium_botryosum.gb	BOTBO	Botryobasidium_botryosum_FD-172_SS1	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium
Botryotinia_fuckeliana_B0510.gb	BOTFU	Botrytis_cinerea_B05.10	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
Brettanomyces_bruxellensis_AWRI1499.gb	BREBR	Brettanomyces_bruxellensis_AWRI1499	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces
Byssochlamys_spectabilis_No5.gb	BYSSP	Byssochlamys_spectabilis_No._5	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys
Candida_albicans_SC5314.gb	CANAL	Candida_albicans_SC5314	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
Candida_dubliniensis_CD36.gb	CANDU	Candida_dubliniensis_CD36	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
Candida_glabrata_CBS138.gb	CANGL	Candida_glabrata_CBS_138	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces
Candida_maltosa_Xu316.gb	CANMA	Candida_maltosa_Xu316	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
Candida_orthopsilosis_Co90125.gb	CANOR	Candida_orthopsilosis_Co_90-125	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
Candida_parapsilosis_CDC317.gb	CANPA	Candida_parapsilosis_CDC317	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
Candida_tenuis_ATCC10573.gb	CANTE	Candida_tenuis_ATCC_10573	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Yamadazyma
Candida_tropicalis_MYA3404.gb	CANTR	Candida_tropicalis_MYA-3404	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
Capronia_coronata_CBS61796.gb	CAPCO	Capronia_coronata_CBS_617.96	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia
Capronia_epimyces_CBS60696.gb	CAPEP	Capronia_epimyces_CBS_606.96	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia
Ceratocystis_platani.gb	CERPL	Ceratocystis_platani	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Microascales	Ceratocystidaceae	Ceratocystis.
Ceriporiopsis_subvermispora_B.gb	CERSU	Ceriporiopsis_subvermispora_B	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Meruliaceae	Ceriporiopsis
Chaetomium_globosum_CBS14851.gb	CHAGL	Chaetomium_globosum_CBS_148.51	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium
Chaetomium_thermophilum_thermophilum_DSM1495.gb	CHATH	Chaetomium_thermophilum_var._thermophilum_DSM_1495	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium
Cladophialophora_carrionii_CBS16054.gb	CLACA	Cladophialophora_carrionii_CBS_160.54	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora
Clavispora_lusitaniae_ATCC42720.gb	CLALU	Clavispora_lusitaniae_ATCC_42720	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora
Cladophialophora_psammophila_CBS110553.gb	CLAPS	Cladophialophora_psammophila_CBS_110553	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora
Claviceps_purpurea_201.gb	CLAPU	Claviceps_purpurea_20.1	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps
Cladophialophora_yegresii_CBS114405.gb	CLAYE	Cladophialophora_yegresii_CBS_114405	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora
Coccidioides_immitis_RS.gb	COCIM	Coccidioides_immitis_RS	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Onygenales_F	Coccidioides
Coccidioides_posadasii_C735.gb	COCPO	Coccidioides_posadasii_C735_delta_SOWgp	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Onygenales_F	Coccidioides
Colletotrichum_fioriniae.gb	COLFL	Colletotrichum_fioriniae_PJ7	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum
Colletotrichum_gloeosporioides_Cg14.gb	COLGL	Colletotrichum_gloeosporioides_Cg-14	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum
Colletotrichum_graminicola_M1001.gb	COLGR	Colletotrichum_graminicola_M1.001	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum
Colletotrichum_higginsianum_IMI349063.gb	COLHI	Colletotrichum_higginsianum	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum
Colletotrichum_orbiculare_MAFF240422.gb	COLOR	Colletotrichum_orbiculare_MAFF_240422	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum
Colletotrichum_sublineola.gb	COLSU	Colletotrichum_sublineola	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum
Coniosporium_apollinis_CBS100218.gb	CONAP	Coniosporium_apollinis_CBS_100218	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium
Coniophora_puteana_RWD64598.gb	CONPU	Coniophora_puteana_RWD-64-598_SS2	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Coniophoraceae	Coniophora
Coprinopsis_cinerea_okayama7130.gb	COPCI	Coprinopsis_cinerea_okayama7_130	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis
Cordyceps_militaris_CM01.gb	CORMI	Cordyceps_militaris_CM01	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps
Cryptococcus_gattii_20019351.gb	CRYGA	Cryptococcus_gattii_2001/935-1	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Tremellaceae	Filobasidiella
Cryptococcus_neoformans_grubii_H99.gb	CRYNE	Cryptococcus_neoformans_var._grubii_H99	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Tremellaceae	Filobasidiella
Cyberlindnera_fabianii_YJS4271.gb	CYBFA	Cyberlindnera_fabianii	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
Cyphellophora_europaea_CBS101466.gb	CYPEU	Cyphellophora_europaea_CBS_101466	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora
Dactylellina_haptotyla_CBS20050.gb	DACHA	Dactylellina_haptotyla_CBS_200.50	Fungi	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylellina
Dacryopinax_sp_DJM731.gb	DACSP	Dacryopinax_sp._DJM-731_SS1	Fungi	Basidiomycota	Agaricomycotina	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Dacryopinax
Debaryomyces_hansenii_CBS767.gb	DEBHA	Debaryomyces_hansenii_CBS767	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces
Diaporthe_ampelina.gb	DIAAM	Diaporthe_ampelina	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe.
Dichomitus_squalens_LYAD421.gb	DICSQ	Dichomitus_squalens_LYAD-421_SS1	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Polyporaceae	Dichomitus
Diplodia_seriata.gb	DIPSE	Diplodia_seriata	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia.
Dothistroma_septosporum_NZE10.gb	DOTSE	Dothistroma_septosporum_NZE10	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
Drechslerella_stenobrocha_248.gb	DREST	Drechslerella_stenobrocha_248	Fungi	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella
Aspergillus_nidulans_FGSC_A4.gb	EMENI	Aspergillus_nidulans_FGSC_A4	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Encephalitozoon_hellem_ATCC50504.gb	ENCHE	Encephalitozoon_hellem_ATCC_50504	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Unikaryonidae	Encephalitozoon
Encephalitozoon_intestinalis_ATCC50506.gb	ENCIN	Encephalitozoon_intestinalis_ATCC_50506	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Unikaryonidae	Encephalitozoon
Encephalitozoon_romaleae_SJ2008.gb	ENCRO	Encephalitozoon_romaleae_SJ-2008	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Unikaryonidae	Encephalitozoon
Endocarpon_pusillum_Z07020.gb	ENDPU	Endocarpon_pusillum_Z07020	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon
Eremothecium_cymbalariae_DBVPG7215.gb	ERECY	Eremothecium_cymbalariae_DBVPG_7215	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium
Erysiphe_necator.gb	ERYNE	Erysiphe_necator	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe
Eutypa_lata_UCREL1.gb	EUTLA	Eutypa_lata_UCREL1	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa
Exophiala_aquamarina_CBS119918.gb	EXOAQ	Exophiala_aquamarina_CBS_119918	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
Exophiala_dermatitidis_UT8656.gb	EXODE	Exophiala_dermatitidis_NIH/UT8656	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
Fibroporia_radiculosa_TFFH294.gb	FIBRA	Fibroporia_radiculosa	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Polyporaceae	Fibroporia
Fomitiporia_mediterranea_MF322.gb	FOMME	Fomitiporia_mediterranea_MF3/22	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fomitiporia
Fomitopsis_pinicola_FP58527.gb	FOMPI	Fomitopsis_pinicola_FP-58527_SS1	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis
Fusarium_avenaceum.gb	FUSAV	Fusarium_avenaceum	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_fujikuroi_IMI58289.gb	FUSFU	Fusarium_fujikuroi_IMI_58289	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_oxysporum_lycopersici_MN25.gb	FUSOX	Fusarium_oxysporum_f._sp._lycopersici_MN25	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_pseudograminearum_CS3096.gb	FUSPS	Fusarium_pseudograminearum_CS3096	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Gaeumannomyces_graminis_triticiR3111a1.gb	GAEGR	Gaeumannomyces_graminis_var._tritici_R3-111a-1	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Magnaporthales	Magnaporthaceae	Gaeumannomyces
Galerina_marginata_CBS33988.gb	GALMA	Galerina_marginata_CBS_339.88	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Strophariaceae	Galerina
Fusarium_verticillioides_7600.gb	GIBMO	Fusarium_verticillioides_7600	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_graminearum.gb	GIBZE	Fusarium_graminearum	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Glarea_lozoyensis_74030.gb	GLALO	Glarea_lozoyensis_74030	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Helotiaceae	Glarea
Gloeophyllum_trabeum_ATCC11539.gb	GLOTR	Gloeophyllum_trabeum_ATCC_11539	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum
Grosmannia_clavigera_kw1407.gb	GROCL	Grosmannia_clavigera_kw1407	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Grosmannia
Gymnopus_luxurians_FD317.gb	GYMLU	Gymnopus_luxurians_FD-317_M1	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Gymnopus
Hebeloma_cylindrosporum_h7.gb	HEBCY	Hebeloma_cylindrosporum_h7	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Cortinariaceae	Hebeloma
Heterobasidion_irregulare_TC321.gb	HETIR	Heterobasidion_irregulare_TC_32-1	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Russulales	Bondarzewiaceae	Heterobasidion
Hydnomerulius_pinastri_MD312.gb	HYDPI	Hydnomerulius_pinastri_MD-312	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Paxillaceae	Hydnomerulius
Hypocrea_virens.gb	HYPVG	Trichoderma_virensGv29-8	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma
Jaapia_argillacea_MUCL33604.gb	JAAAR	Jaapia_argillacea_MUCL_33604	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Jaapiales	Jaapiaceae	Jaapia
Kazachstania_africana_CBS2517.gb	KAZAF	Kazachstania_africana_CBS_2517	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania
Kazachstania_naganishii_CBS8797.gb	KAZNA	Kazachstania_naganishii_CBS_8797	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania
Kluyveromyces_dobzhanskii_CBS2104.gb	KLUDO	Kluyveromyces_dobzhanskii_CBS_2104	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces
Kluyveromyces_lactis_NRRLY1140.gb	KLULA	Kluyveromyces_lactis	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces
Kluyveromyces_marxianus.gb	KLUMA	Kluyveromyces_marxianus	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces
Kuraishia_capsulata_CBS1993.gb	KURCA	Kuraishia_capsulata_CBS_1993	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetales_F	Kuraishia
Laccaria_amethystina_LaAM081.gb	LACAM	Laccaria_amethystina_LaAM-08-1	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria
Laccaria_bicolor_S238NH82.gb	LACBI	Laccaria_bicolor_S238N-H82	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria
Lachancea_lanzarotensis_LALA0.gb	LACLA	Lachancea_lanzarotensis	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea
Lachancea_thermotolerans_CBS6340.gb	LACTH	Lachancea_thermotolerans_CBS_6340	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea
Leptosphaeria_maculans_JN3.gb	LEPMA	Leptosphaeria_maculans_JN3	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria
Lichtheimia_corymbifera_JMRCFSU9682.gb	LICCO	Lichtheimia_corymbifera_JMRC:FSU:9682	Fungi	Mucoromycota	Mucoromycotina	Mucoromycotina_C	Mucorales	Lichtheimiaceae	Lichtheimia
Lodderomyces_elongisporus_NRRLYB4239.gb	LODEL	Lodderomyces_elongisporus_NRRL_YB-4239	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Lodderomyces
Macrophomina_phaseolina_MS6.gb	MACPH	Macrophomina_phaseolina_MS6	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina
Magnaporthe_oryzae_7015.gb	MAGOR	Magnaporthe_oryzae_70-15	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthe
Malassezia_globosa_CBS7966.gb	MALGL	Malassezia_globosa_CBS_7966	Fungi	Basidiomycota	Ustilaginomycotina	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia
Malassezia_sympodialis_ATCC42132.gb	MALSY	Malassezia_sympodialis_ATCC_42132	Fungi	Basidiomycota	Ustilaginomycotina	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia
Marssonina_brunnea_multigermtubi_MB_m1.gb	MARBR	Marssonina_brunnea_f._sp._'multigermtubi'_MB_m1	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Dermateaceae	Marssonina
Melampsora_larici-populina_98AG31.gb	MELLA	Melampsora_larici-populina_98AG31	Fungi	Basidiomycota	Pucciniomycotina	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora
Melanopsichium_pennsylvanicum.gb	MELPE	Melanopsichium_pennsylvanicum_4	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Melanopsichium
Metarhizium_acridum_CQMa102.gb	METAC	Metarhizium_acridum_CQMa_102	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
Metarhizium_album_ARSEF1941.gb	METAL	Metarhizium_album_ARSEF_1941	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
Metarhizium_anisopliae_ARSEF549.gb	METAN	Metarhizium_anisopliae_ARSEF_549	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
Metarhizium_brunneum_ARSEF3297.gb	METBR	Metarhizium_brunneum_ARSEF_3297	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
Metarhizium_guizhouense_ARSEF977.gb	METGU	Metarhizium_guizhouense_ARSEF_977	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps
Metarhizium_majus_ARSEF297.gb	METMA	Metarhizium_majus_ARSEF_297	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
Metarhizium_robertsii_ARSEF23.gb	METRO	Metarhizium_robertsii_ARSEF_23	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
Meyerozyma_guilliermondii_ATCC6260.gb	MEYGU	Meyerozyma_guilliermondii_ATCC_6260	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma
Microsporum_gypseum_CBS118893.gb	MICGY	Microsporum_gypseum_CBS_118893	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arthrodermataceae	Microsporum
Microsporidia_sp_UGP3.gb	MICSP	Microsporidia_sp._UGP3	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Microsporidia_F	Microsporidia_G
Microbotryum_violaceum_p1A1.gb	MICVI	Microbotryum_violaceum_p1A1_Lamole	Fungi	Basidiomycota	Pucciniomycotina	Microbotryomycetes	Microbotryales	Microbotryaceae	Microbotryum
Mixia_osmundae_IAM14324.gb	MIXOS	Mixia_osmundae_IAM_14324	Fungi	Basidiomycota	Pucciniomycotina	Mixiomycetes	Mixiales	Mixiaceae	Mixia
Moniliophthora_roreri_MCA2997.gb	MONRO	Moniliophthora_roreri_MCA_2997	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora
Mortierella_verticillata_NRRL6337.gb	MORVE	Mortierella_verticillata_NRRL_6337	Fungi	Mucoromycota	Mortierellomycotina	Mortierellomycotina_C	Mortierellales	Mortierellaceae	Mortierella
Mucor_circinelloides_circinelloides_1006PhL.gb	MUCCI	Mucor_circinelloides_f._circinelloides_1006PhL	Fungi	Mucoromycota	Mucoromycotina	Mucoromycotina_C	Mucorales	Mucoraceae	Mucor
Myceliophthora_thermophila_ATCC42464.gb	MYCTH	Myceliophthora_thermophila_ATCC_42464	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae	Myceliophthora
Naumovozyma_castellii_CBS4309.gb	NAUCA	Naumovozyma_castellii_CBS_4309	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma
Naumovozyma_dairenensis_CBS421.gb	NAUDA	Naumovozyma_dairenensis_CBS_421	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma
Nectria_haematococca_mpVI.gb	NECHA	Nectria_haematococca_mpVI_77-13-4	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Nematocida_parisii_ERTm1.gb	NEMPA	Nematocida_parisii_ERTm1	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Microsporidia_F	Nematocida
Nematocida_sp1ERTm2.gb	NEMSP	Nematocida_sp._1_ERTm2	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Microsporidia_F	Nematocida
Neosartorya_fischeri_NRRL181_2.gb	NEOFI	Neosartorya_fischeri_NRRL_181	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Neosartorya
Neofusicoccum_parvum_UCRNP2.gb	NEOPA	Neofusicoccum_parvum_UCRNP2	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum
Neosartorya_udagawae.gb	NEOUD	Neosartorya_udagawae	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Neosartorya.
Neurospora_crassa_OR74A.gb	NEUCR	Neurospora_crassa_OR74A	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Sordariaceae	Neurospora
Neurospora_tetrasperma_FGSC2508.gb	NEUTE	Neurospora_tetrasperma_FGSC_2508	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Sordariaceae	Neurospora
