#FileName	SpeciesCode	SpeciesName	Kingdom	Phylum	Subphylum	class	order	Family	genus
Punctularia_strigosozonata_HHB11173.gb	PUNST	Punctularia_strigosozonata_HHB-11173_SS5	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Corticiales	Punctulariaceae	Punctularia
Pyronema_omphalodes_CBS100304.gb	PYROM	Pyronema_omphalodes_CBS_100304	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Pyronema
Pyrenophora_teres_teres.gb	PYRTE	Pyrenophora_teres_f._teres_0-1	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora
Pyrenophora_tritici_repentis.gb	PYRTR	Pyrenophora_tritici-repentis_Pt-1C-BFP	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora
Rhizopus_delemar.gb	RHIDE	Rhizopus_delemar_RA_99-880	Fungi	Mucoromycota	Mucoromycotina	Mucoromycotina_C	Mucorales	Rhizopodaceae	Rhizopus
Rhizopus_microsporus_CBS34429.gb	RHIMI	Rhizopus_microsporus	Fungi	Mucoromycota	Mucoromycotina	Mucoromycotina_C	Mucorales	Rhizopodaceae	Rhizopus
Rhizoctonia_solani_123E.gb	RHISO	Rhizoctonia_solani_123E	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia
Rhodotorula_glutinis_ATCC204091.gb	RHOGL	Rhodotorula_glutinis_ATCC_204091	Fungi	Basidiomycota	Pucciniomycotina	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula
Rhodosporidium_toruloides_NP11.gb	RHOTO	Rhodotorula_toruloides_NP11	Fungi	Basidiomycota	Pucciniomycotina	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula
Rozella_allomycis_CSF55.gb	ROZAL	Rozella_allomycis_CSF55	Fungi	Cryptomycota	Cryptomycota_S	Cryptomycota_C	Cryptomycota_O	Cryptomycota_F	Rozella
Saccharomyces_arboricola_H6.gb	SACAR	Saccharomyces_arboricola_H-6	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
Saccharomyces_VIN7.gb	SACVI	Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii_VIN7	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
Scedosporium_apiospermum.gb	SCEAP	Scedosporium_apiospermum	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Microascales	Microascaceae	Scedosporium
Schizophyllum_commune_H48.gb	SCHCO	Schizophyllum_commune_H4-8	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum
Schizosaccharomyces_cryophilus_OY26.gb	SCHCR	Schizosaccharomyces_cryophilus_OY26	Fungi	Ascomycota	Taphrinomycotina	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
Schizosaccharomyces_japonicus_yFS275.gb	SCHJA	Schizosaccharomyces_japonicus_yFS275	Fungi	Ascomycota	Taphrinomycotina	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
Schizosaccharomyces_octosporus_yFS286.gb	SCHOC	Schizosaccharomyces_octosporus_yFS286	Fungi	Ascomycota	Taphrinomycotina	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
Schizosaccharomyces_pombe.gb	SCHPO	Schizosaccharomyces_pombe_972h-	Fungi	Ascomycota	Taphrinomycotina	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
Scheffersomyces_stipitis_CBS6054.gb	SCHST	Scheffersomyces_stipitis_CBS_6054	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Scheffersomyces
Sclerotinia_borealis.gb	SCLBO	Sclerotinia_borealis_F-4157	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia
Scleroderma_citrinum_FougA.gb	SCLCI	Scleroderma_citrinum_Foug_A	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma
Sclerotinia_sclerotiorum_1980.gb	SCLSC	Sclerotinia_sclerotiorum_1980_UF-70	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia
Serpula_lacrymans_lacrymans_S73.gb	SERLA	Serpula_lacrymans_var._lacrymans_S7.3	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Serpulaceae	Serpula
Serendipita_vermifera_MAFF305830.gb	SERVE	Serendipita_vermifera_MAFF_305830	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita
Setosphaeria_turcica_Et28A.gb	SETTU	Setosphaeria_turcica_Et28A	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Setosphaeria
Sordaria_macrospora_khell.gb	SORMA	Sordaria_macrospora_k-hell	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Sordariaceae	Sordaria
Spathaspora_passalidarum_NRRLY27907.gb	SPAPA	Spathaspora_passalidarum_NRRL_Y-27907	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Spathaspora
Sphaerulina_musiva_SO2202.gb	SPHMU	Sphaerulina_musiva_SO2202	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Sphaerulina
Sphaerobolus_stellatus_SS14.gb	SPHRE	Sphaerobolus_stellatus_SS14	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Geastrales	Sphaerobolaceae	Sphaerobolus
Sporothrix_brasiliensis_5110.gb	SPOBR	Sporothrix_brasiliensis_5110	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix
